id,complex
METI-MONOMER,METNIQ-METHIONINE-ABC-CPLX
MGLA-MONOMER,ABC-18-CPLX
MGLC-MONOMER,ABC-18-CPLX
MGTA-MONOMER,
MHPT-MONOMER,
MODB-MONOMER,ABC-19-CPLX
MONOMER0-12,ATPASE-1-CPLX
MONOMER0-1564,CPLX0-2621
MONOMER0-1601,
MONOMER0-1604,
MONOMER0-1922,
MONOMER0-2141,
MONOMER0-2663,CYT-D-UBIOX-CPLX
MONOMER0-2682,CPLX0-7720
MONOMER0-2692,
MONOMER0-2841,
MONOMER0-2874,
MONOMER0-2875,
MONOMER0-2876,
MONOMER0-2879,
MONOMER0-2880,
MONOMER0-2881,
MONOMER0-422,TRANS-CPLX-203
MONOMER0-5,CPLX0-7
MONOMER0-561,CPLX0-7458
MONOMER0-6,CPLX0-8119
MONOMER0-761,
MONOMER0-766,
MONOMER0-82,CPLX0-7982
MOTA-FLAGELLAR-MOTOR-STATOR-PROTEIN,CPLX0-7452
MOTA-FLAGELLAR-MOTOR-STATOR-PROTEIN,FLAGELLAR-MOTOR-COMPLEX
MOTB-FLAGELLAR-MOTOR-STATOR-PROTEIN,CPLX0-7452
MOTB-FLAGELLAR-MOTOR-STATOR-PROTEIN,FLAGELLAR-MOTOR-COMPLEX
MTLA-MONOMER,CPLX-166
MTR-MONOMER,
NADH-DHII-MONOMER,
NANT-MONOMER,
NAPG-MONOMER,CPLX0-3241
NAPH-MONOMER,CPLX0-3241
NARI-MONOMER,NITRATREDUCTA-CPLX
NARK-MONOMER,
NARQ-MONOMER,NARQ-CPLX
NARU-MONOMER,
NARV-MONOMER,NITRATREDUCTZ-CPLX
NARX-MONOMER,NARX-CPLX
NHAA-MONOMER,CPLX0-7629
NHAB-MONOMER,
NIKB-MONOMER,ABC-20-CPLX
NIKC-MONOMER,ABC-20-CPLX
NIRC-MONOMER,
NRFD-MONOMER,CPLX0-8238
NUOA-MONOMER,NADH-DHI-CPLX
NUOB-MONOMER,CPLX0-3361
NUOB-MONOMER,NADH-DHI-CPLX
NUOC-MONOMER,CPLX0-3361
NUOC-MONOMER,NADH-DHI-CPLX
NUOE-MONOMER,CPLX0-3361
NUOE-MONOMER,NADH-DHI-CPLX
NUOF-MONOMER,CPLX0-3361
NUOF-MONOMER,NADH-DHI-CPLX
